cpu_load,ram_usage,temperature,power_draw
11.31,15.0,32.44,170.32
88.91,80.71,59.75,394.58
46.4,41.64,46.66,270.02
92.17,77.45,60.94,413.68
91.91,75.49,59.8,405.57
82.51,66.04,58.32,378.16
35.03,35.49,42.04,234.33
42.73,39.41,41.12,262.33
82.35,67.01,57.72,389.74
36.94,30.67,41.98,239.08
24.41,23.52,36.1,206.51
57.33,55.87,50.13,312.64
89.57,75.88,59.13,399.97
69.16,55.82,52.4,342.11
58.46,51.03,48.2,302.46
18.26,18.79,34.41,190.48
62.28,46.73,48.15,317.51
94.15,80.16,58.79,417.96
21.91,21.83,38.06,206.31
54.06,50.34,45.65,307.14
84.58,78.21,56.11,387.77
72.97,66.75,50.31,351.09
69.25,59.59,51.28,340.5
69.71,57.45,50.41,338.63
40.56,45.17,44.66,257.58
34.96,33.14,41.75,237.27
78.8,68.08,54.55,368.74
78.86,68.02,58.98,376.88
83.7,72.56,58.77,378.71
87.63,74.67,58.18,400.14
53.46,46.05,42.96,297.77
52.63,45.46,49.86,291.7
77.86,67.19,53.16,353.97
65.25,55.57,48.37,323.84
69.67,58.6,53.92,348.51
77.64,67.43,58.83,366.7
85.65,72.76,60.05,384.85
38.73,40.5,42.4,247.12
41.92,30.59,43.57,263.37
17.99,22.67,35.58,190.89
59.15,56.06,49.84,309.36
13.06,15.0,32.99,171.22
49.58,43.63,45.51,279.61
56.12,48.79,47.55,296.31
34.36,28.26,38.89,243.72
60.22,50.84,48.66,311.33
12.59,15.0,29.87,176.28
13.17,20.8,32.46,180.73
79.92,71.74,54.49,376.02
40.62,41.31,40.56,251.85
20.8,23.81,35.55,198.03
54.39,45.13,49.12,296.74
75.45,63.79,55.78,354.63
28.34,29.14,35.56,218.77
62.95,51.69,48.55,314.63
17.25,20.94,35.45,191.98
14.39,15.79,31.56,173.76
55.17,48.01,46.97,298.95
55.95,51.9,48.41,302.29
64.18,57.68,49.01,322.92
71.72,61.29,53.26,350.37
92.95,82.84,58.53,407.14
53.89,44.87,45.96,298.21
37.45,36.81,41.59,238.93
77.59,68.85,52.77,364.27
33.02,30.49,40.22,242.26
47.31,43.83,44.53,269.74
16.67,15.0,34.66,180.62
12.15,17.5,32.59,172.9
91.83,77.91,62.19,409.1
81.06,68.28,56.56,377.0
69.16,63.47,51.56,341.87
44.76,38.7,43.85,270.43
24.73,20.56,37.47,213.53
23.3,18.97,36.23,205.39
31.27,31.83,39.01,225.85
56.68,46.51,46.79,305.47
70.74,66.86,51.76,353.46
66.12,51.65,49.04,328.98
33.79,37.12,42.45,230.98
91.16,78.56,58.04,409.81
72.72,62.89,52.41,349.22
57.12,49.06,46.91,292.53
62.0,55.79,51.04,323.35
45.67,41.42,43.54,266.96
31.06,33.16,40.74,226.88
40.26,37.55,41.08,254.92
74.42,64.98,54.46,356.55
11.22,15.0,30.68,170.31
19.87,20.72,38.17,192.53
13.91,17.05,31.09,177.06
13.46,15.0,33.18,172.98
82.71,67.13,57.9,384.24
69.81,63.08,53.05,345.07
50.3,45.76,45.33,278.84
18.32,19.1,34.22,193.82
51.79,46.49,46.19,285.42
50.25,46.24,45.37,287.41
24.72,23.16,38.1,210.11
46.88,40.17,47.72,284.31
43.87,40.69,42.52,262.99
62.35,51.94,47.77,316.71
63.98,57.41,50.26,324.19
13.85,15.0,36.72,175.63
41.84,41.56,41.44,261.88
63.2,56.98,52.58,315.16
52.77,47.98,48.98,286.97
82.8,74.19,56.15,374.58
65.99,62.79,51.95,335.5
23.85,27.12,38.79,214.73
16.0,15.0,33.03,180.79
64.61,52.85,50.31,325.2
12.25,15.0,31.42,170.37
59.79,52.91,47.4,316.93
89.92,78.49,58.5,396.39
58.92,49.96,46.78,309.55
42.99,39.96,43.1,266.81
64.68,54.48,49.48,328.35
48.95,42.33,45.48,280.75
56.38,45.88,45.4,305.56
90.02,74.25,60.0,388.55
42.82,35.2,44.24,265.4
91.7,75.43,57.1,402.05
86.95,77.72,59.0,383.82
26.64,23.47,39.17,216.74
15.9,25.61,31.75,187.25
18.57,21.33,37.01,189.8
11.55,15.0,32.67,173.44
18.03,16.85,33.25,195.16
68.06,61.55,51.74,343.0
16.05,16.11,34.46,190.37
37.11,35.06,41.1,248.18
81.81,78.13,57.44,378.18
11.98,15.0,30.81,160.93
79.23,71.83,55.98,368.61
33.96,30.06,37.76,229.75
20.04,20.93,34.85,204.4
69.22,65.69,50.87,338.38
63.46,53.89,49.11,322.86
84.59,78.11,59.46,389.33
72.48,65.11,55.01,350.67
78.3,65.95,56.32,375.86
33.97,34.08,38.25,231.14
25.08,27.98,36.3,209.36
73.8,65.91,55.65,350.76
78.58,63.15,55.72,361.28
94.19,78.17,64.45,412.9
45.07,40.32,44.37,268.2
41.62,38.07,42.86,255.82
76.0,67.66,54.13,356.39
38.97,36.71,41.84,243.0
89.11,72.29,58.96,398.59
82.97,72.51,58.1,373.83
46.46,44.0,45.7,276.75
73.82,65.74,52.66,353.45
74.14,67.55,51.95,346.27
18.77,22.51,31.81,186.9
86.72,75.75,59.11,388.6
52.95,47.15,44.88,292.28
80.25,64.22,52.86,377.83
37.2,36.05,41.6,235.6
86.12,74.52,61.88,392.65
43.08,40.28,43.07,261.36
10.92,15.0,33.08,170.48
86.96,71.32,58.56,393.83
17.76,22.37,34.07,183.0
37.14,34.59,42.38,243.59
90.76,79.65,59.33,399.8
90.8,77.73,60.18,409.72
58.74,52.08,49.04,309.11
63.71,58.78,49.3,332.53
48.12,41.95,46.33,277.59
34.92,33.23,39.96,234.22
37.94,33.96,40.14,238.73
67.16,57.43,52.31,325.2
73.95,63.23,52.54,345.41
77.28,67.49,55.09,365.28
77.12,65.26,54.98,365.96
17.75,22.97,35.84,179.72
52.03,43.94,46.92,293.61
14.89,16.35,33.17,175.87
56.71,49.05,49.08,304.06
47.53,47.37,46.72,284.51
85.45,73.95,58.75,393.13
39.83,39.96,41.96,251.15
19.95,16.5,33.01,187.91
22.15,23.52,34.16,188.35
74.73,67.45,53.7,352.49
62.55,55.29,48.98,318.57
18.6,23.07,34.23,184.25
17.15,17.17,34.09,184.4
69.58,64.89,53.15,341.79
16.18,24.84,33.56,180.97
79.86,67.8,56.68,368.69
70.03,59.69,52.61,343.23
16.91,22.89,30.96,185.05
17.21,23.51,32.61,179.05
93.86,78.52,60.64,420.19
41.81,37.19,40.82,256.99
41.5,37.36,43.43,258.02
79.09,64.24,57.98,373.98
90.52,74.66,61.51,405.37
93.81,77.04,60.51,417.69
74.04,61.93,56.15,356.81
41.98,38.48,42.92,255.95
17.1,19.38,33.48,186.42
76.06,70.5,53.7,354.09
57.46,47.98,47.66,305.27
46.06,44.8,43.54,270.57
87.04,73.99,58.72,392.03
19.45,20.41,35.05,191.35
51.87,48.52,46.16,278.92
10.97,15.0,32.49,164.21
49.84,46.02,47.23,283.62
14.79,17.33,34.6,179.5
20.1,22.56,32.81,187.54
19.99,21.86,31.17,197.88
65.18,64.51,52.22,324.29
73.41,61.82,51.64,356.23
59.59,51.08,48.52,313.24
91.78,76.56,58.37,402.95
41.86,36.82,39.95,266.07
34.29,30.52,40.81,230.44
83.83,75.63,58.48,388.56
29.01,32.47,37.29,224.86
91.87,76.79,56.27,402.03
11.03,15.0,31.04,173.38
92.44,80.37,60.94,408.05
13.67,15.0,30.57,175.0
85.75,75.5,58.29,390.54
54.85,49.49,47.18,296.51
94.4,75.97,61.91,419.33
16.27,22.66,33.87,186.47
57.08,56.05,46.52,294.33
92.39,77.07,62.13,416.28
54.46,47.41,46.82,287.6
63.5,56.66,50.18,328.05
69.14,61.31,50.8,344.62
48.64,45.88,44.36,272.9
63.34,61.7,48.84,319.73
59.67,52.2,48.62,305.85
86.6,71.88,60.88,391.84
13.86,15.0,30.79,172.67
33.88,29.91,37.44,237.49
90.78,77.53,61.98,411.74
85.67,78.92,57.67,395.7
48.73,42.43,44.05,275.66
62.71,55.84,51.51,320.3
33.58,31.81,38.84,225.02
25.99,29.36,39.84,208.66
49.41,52.11,46.31,286.34
40.03,35.44,41.28,260.82
59.61,51.22,52.1,306.79
16.61,21.42,32.9,179.99
92.82,81.3,61.6,410.57
93.83,85.6,61.29,414.76
